Word,Count,TF
extract,2,0.000251730648206419
served,1,0.00012586532410321
Antibody,1,0.00012586532410321
intracellular,1,0.00012586532410321
Technology,4,0.000503461296412838
Bulgarian,1,0.00012586532410321
Biomedical,5,0.000629326620516048
Cross,1,0.00012586532410321
prepare,1,0.00012586532410321
engineered,2,0.000251730648206419
Lyon,1,0.00012586532410321
B16,2,0.000251730648206419
Janeiro,2,0.000251730648206419
human,24,0.00302076777847703
site,30,0.00377595972309629
utilized,2,0.000251730648206419
digestion,1,0.00012586532410321
de,6,0.000755191944619257
zone,5,0.000629326620516048
attempt,1,0.00012586532410321
dominated,1,0.00012586532410321
Activities,1,0.00012586532410321
clear,2,0.000251730648206419
Dai,2,0.000251730648206419
Hangzhou,3,0.000377595972309629
Staphylococcus,31,0.0039018250471995
DR,6,0.000755191944619257
binary,1,0.00012586532410321
specific,29,0.00365009439899308
4T,2,0.000251730648206419
evidence,4,0.000503461296412838
P4,2,0.000251730648206419
entire,1,0.00012586532410321
lymphocyte,5,0.000629326620516048
introduction,1,0.00012586532410321
toxins,23,0.00289490245437382
failed,1,0.00012586532410321
curve,1,0.00012586532410321
Tetragonal,1,0.00012586532410321
Substitution,1,0.00012586532410321
sets,1,0.00012586532410321
metal,1,0.00012586532410321
Lei,1,0.00012586532410321
producing,1,0.00012586532410321
pET,2,0.000251730648206419
SPEA,1,0.00012586532410321
MD,1,0.00012586532410321
stimulatory,2,0.000251730648206419
Sussman,1,0.00012586532410321
secreted,4,0.000503461296412838
belongs,1,0.00012586532410321
Trousseau,1,0.00012586532410321
overlap,1,0.00012586532410321
mutagenesis,9,0.00113278791692889
Yao,2,0.000251730648206419
Pharmazie,1,0.00012586532410321
yield,1,0.00012586532410321
calculated,1,0.00012586532410321
Binding,3,0.000377595972309629
rn,1,0.00012586532410321
Kuntsmann,1,0.00012586532410321
Molecular,4,0.000503461296412838
acidic,1,0.00012586532410321
kDa,2,0.000251730648206419
dimensional,6,0.000755191944619257
structural,9,0.00113278791692889
Feng,1,0.00012586532410321
leukocytes,5,0.000629326620516048
application,8,0.00100692259282568
activator,1,0.00012586532410321
RESULT,1,0.00012586532410321
peripheral,7,0.000881057268722467
Kong,16,0.00201384518565135
interfere,1,0.00012586532410321
1s,1,0.00012586532410321
alkali,3,0.000377595972309629
microM,2,0.000251730648206419
dual,3,0.000377595972309629
splenic,1,0.00012586532410321
Russian,1,0.00012586532410321
facilitating,1,0.00012586532410321
demonstrates,1,0.00012586532410321
correct,1,0.00012586532410321
ray,4,0.000503461296412838
streptavidin,7,0.000881057268722467
Struct,1,0.00012586532410321
Whitney,1,0.00012586532410321
