Keyword,count
0, 1
0077, 1
05843, 1
06030, 1
1, 30
10, 3
100, 6
10mm, 1
11, 8
1110, 1
1111, 1
1215, 9
13, 1
14, 3
16, 1
17, 2
1749, 1
18, 3
19, 1
1992, 1
1department, 1
2, 27
20, 2
2009, 2
2010, 1
2011, 18
21, 1
22, 11
23, 2
24, 2
2448, 1
2481, 1
25, 1
26, 2
27, 2
28, 3
29, 2
2cardiovascular, 1
3, 8
30, 5
31, 1
32, 1
347, 1
35, 1
37, 1
38, 1
39, 1
4, 7
40, 1
41, 1
42, 1
43, 1
443, 1
452, 1
473, 1
48, 1
49, 1
5, 5
50, 2
51, 1
52, 1
53, 1
54, 1
55, 1
56, 1
57, 8
58, 2
59, 1
5mg, 1
6, 6
60, 2
62, 1
63, 1
64, 1
66, 2
6632, 1
67, 1
68, 1
69, 1
7, 1
71, 1
72, 3
73, 1
74, 1
75, 1
76, 1
77, 1
78, 1
79, 1
8, 3
80, 2
81, 1
82, 1
83, 1
84, 1
85, 1
86, 1
8923, 1
9, 1
A1, 1
A3, 1
Abberrations, 1
Ability, 7
Abnormal, 2
Abolished, 2
Abrogates, 1
Abundant, 1
Acad, 10
Academy, 11
Accompanied, 1
Accumulate, 1
Accumulation, 3
Acetylated, 1
Acid, 1
Acids, 1
Action, 12
Activate, 3
Activated, 3
Activates, 2
Activating, 1
Activation, 11
Activity, 3
Acts, 1
Acute, 2
Adaptation, 2
Adaptive, 14
Add, 1
Addition, 4
Additional, 1
Address, 1
Adenosine, 2
Adenosinea3, 1
Adherence, 1
Adhesion, 2
Adp, 1
Adrenergic, 1
Adudley, 1
Adult, 3
Advances, 1
Adversely, 1
Affect, 3
Againstmostdegenerative, 1
Age, 2
Agedependent, 1
Agent, 1
Agents, 1
Aggregated, 1
Aggregates, 1
Aggregation, 4
Aggregation34, 1
Aging, 3
Agonists, 1
Akt, 6
Al, 10
Alcohol, 6
Alpha, 1
Alter, 1
Alteration, 1
Alterations, 2
Ameliorates, 2
Americans, 1
Amount, 9
Analysis, 1
Andcardiovascular, 1
Anddifferentiation, 1
Andmetabolic, 1
Andnf, 1
Andref, 1
Anesthetized, 1
Aneuploidy, 1
Angii, 2
Angiogenesis, 6
Angiogenic, 2
Angiosuppressive, 1
Angiotensin, 1
Animal, 1
Animals, 3
Ann, 10
Annals, 1
Answer, 1
Anterior, 1
Antiaging, 4
Antiapoptotic, 2
Antideath, 1
Antidiabetic, 2
Antifungal, 1
Antioxidant, 5
Antioxidants, 1
Antioxidative, 1
Antithrombin, 1
Aortic, 1
Apoptosis, 6
Apoptotic, 5
Appear, 3
Appears, 3
Application, 2
Arjuna, 1
Arrest, 1
Arrhythmias, 1
Art, 1
Arterial, 2
Artery, 1
Ascertaining, 1
Ashwagandha, 1
Aspirin, 1
Associated, 9
Associates, 1
Aswell, 2
Atg, 1
Atherogenesis, 1
Atherosclerosis, 9
Atherosclerotic, 2
Atp, 1
Attack, 3
Attention, 1
Attenuated, 5
Authors, 2
Autophagic, 8
Autophagosome, 2
Autophagosomes, 3
Autophagy, 47
Axis, 1
Basal, 1
Based, 1
Basis, 1
Bcl, 1
Beclin, 1
Beef, 1
Began, 1
Behavior, 1
Believed, 2
Beneficial, 5
Benefit, 1
Benefits, 6
Best, 1
Beta, 1
Bilberry, 1
Bind, 1
Binding, 1
Biochem, 1
Biochemistry, 1
Biology, 1
Blocked, 3
Blocks, 3
Blood, 6
Blueberry, 1
Body, 3
Border, 1
Bottles, 1
Bradykinin, 1
Brains, 2
Breaks, 1
Broccoli, 1
Broken, 1
Budding, 1
Buffer, 1
Bulk, 1
Butter, 1
Butterfly, 1
Cadherin, 1
Caenorhabditis, 1
Caffeic, 1
Calcium, 2
Calorie, 9
Camp, 1
Cancer, 2
Canmodify, 1
Cannibalism, 1
Canola, 1
Capillary, 1
Capsicum, 1
Carboxykinase, 1
Cardiac, 28
Cardiol, 2
Cardiomycytes, 1
Cardiomyocyte, 2
Cardiomyocytes, 1
Cardioprotection, 12
Cardioprotective, 11
Cardiovascular, 12
Carried, 1
Case, 2
Cases, 1
Catalytic, 1
Catalyzed, 1
Catenin, 1
Caused, 2
Cell, 33
Cellderived, 1
Cells, 31
Cellsmust, 1
Cellular, 2
Center, 2
Central, 1
Cerebral, 1
Chain, 1
Challenge, 1
Change, 1
Changes, 1
Changing, 1
Chaperone, 1
Characterize, 1
Characterized, 1
Cheese, 1
Chemicals, 1
Chemoprevention, 1
China, 1
Chinese, 1
Cholesterol, 1
Cholesterol15, 1
Choosing, 1
Chromatin, 2
Chromosome, 1
Circulating, 1
Claimed, 1
Clear, 1
Clearing, 1
Clearly, 2
Clin, 2
Clinical, 3
Clinically, 2
Clinicians, 1
Cocoa, 1
Coconut, 1
Coenzyme, 1
Collagen, 1
Colony, 2
Colonyenhancing, 1
Combat, 1
Commercially, 1
Commonly, 2
Compared, 4
Complex, 4
Complexes, 1
Component, 2
Components, 2
Composition, 1
Compound, 3
Compounds, 2
Concentration, 2
Concentrations, 5
Concept, 1
Conclusion, 1
Conditions, 4
Conducted, 1
Confirmed, 1
Conflicts, 2
Connecticut, 3
Consistent, 1
Constituents, 3
Constitutes, 1
Consumeseveral, 1
Consumption, 1
Contents, 2
Context, 1
Continuous, 1
Contrast, 1
Contributes, 1
Control, 7
Controlled, 1
Coordination, 1
Corn, 1
Coronary, 5
Correlated, 1
Correspondence, 1
Counterbalancing, 2
Countries, 1
Coupled, 1
Cox, 2
Cranberry, 1
Creb, 2
Crucial, 1
Cry, 1
Csf, 1
Ct, 1
Culturedmurine, 1
Cure, 1
Cures, 1
Curve, 4
Cuspidatum, 1
Cvd, 2
Cvds, 4
Cyclic, 2
Cyclooxygenase, 1
Cytokines, 1
Cytosolic, 4
Cytotoxic, 3
Daily, 2
Damage, 3
Damaged, 3
Damaging, 1
Das, 3
Das2, 1
Day, 2
Days, 5
Ddas, 1
Death, 13
Deaths, 2
Debrecen, 1
Decay, 2
Declare, 1
Decline, 1
Declined, 1
Decrease, 5
Decreased, 5
Decreases, 3
Deerberry, 1
Defects, 2
Defense, 1
Deficiency, 1
Deficiently, 1
Defined, 2
Definition, 1
Degradation, 3
Degraded, 2
Degrading, 2
Delayed, 1
Delivered, 1
Delivery, 1
Demonstrate, 3
Demonstrated, 4
Demonstrating, 1
Density, 3
Dependent, 6
Depletion, 1
Depresses, 1
Deprivation, 3
Derived, 2
Descending, 1
Described, 1
Destabilization, 1
Destined, 1
Destructive, 1
Determine, 4
Determined, 1
Detrimental, 3
Develop, 1
Developed, 1
Developing, 1
Development, 2
Diabetes, 7
Diabetic, 3
Diastole, 1
Die, 1
Died, 1
Diet, 6
Diets, 1
Differentially, 1
Differentiation, 3
Digestion, 1
Dipak, 2
Direct, 4
Directly, 1
Disappear, 1
Discovery, 2
Discussed, 1
Discussion, 1
Disease, 10
Diseased, 1
Diseases, 4
Display, 2
Displayed, 1
Displays, 1
Disruption, 1
Distress, 1
Diverse, 4
Divided, 1
Dna, 1
Docking, 1
Documented, 1
Doi, 1
Dose, 13
Doses, 21
Double, 3
Doubt, 2
Downstream, 1
Downstreamtarget, 1
Drawn, 1
Dried, 1
Drinking, 1
Dropped, 1
Drosophila, 2
Drug, 2
Drugs, 1
Dumping, 1
Durations, 2
Dysfunctional, 2
E2, 2
Earlier, 4
Eating, 1
Echocardiographic, 1
Echocardiography, 1
Echoed, 1
Edged, 1
Effective, 1
Effectively, 1
Effectiveness, 1
Effects, 13
Efficiency, 1
Egfp, 4
Ejection, 2
Electron, 1
Elegans, 1
Element, 1
Elements, 1
Elevates, 1
Elicit, 1
Elongation, 2
Enabling, 1
Enclosed, 1
Endothelial, 13
Endothelin, 1
Endotoxins, 1
Enhance, 1
Enhanced, 11
Enhancement, 1
Enhances, 1
Enhancing, 1
Enos, 2
Ensure, 1
Environment, 13
Environmental, 3
Enzyme, 1
Epidemiological, 1
Episodes, 3
Era, 1
Erk, 1
Esr, 2
Et, 6
Eucalyptus, 1
Eukaryotic, 1
Eventually, 1
Evidence, 2
Evidenced, 5
Evident, 2
Evolving, 1
Example, 3
Examples, 1
