Wordlist,IDF
parents,260.755228819989
injustice,197.229741672113
pain,182.555574875754
amphlett,181.005564432145
accused,158.622471992939
newsletter,146.547746467926
newsletters,145.296209206013
child,123.099038990399
falsely,96.1667000863237
abuse,75.4237163574923
bl,73.8091297753421
amphletts,69.1740139509418
children,65.8267977175956
susan,64.7756078185434
social,61.314608793367
gerrie,51.8805104632063
august,51.3814712653194
guardian,47.35446520663
families,45.7690369543352
protection,42.8606013520369
administrators,40.2210585167775
voluntary,39.9891778480296
prosser,39.6481984933942
experiences,39.6049810005783
bfi,35.3289227693564
britain,35.1165695834144
her,34.8043086620777
innocents,34.5870069754709
july,33.8895261502651
documentary,32.264658589258
1987,31.8685189805477
cleveland,31.0501196202944
policy,30.1148432200124
steve,29.4251744704822
sought,28.2562706347372
inquiries,28.1973975638721
erlichman,28.1564211338892
campaigning,28.1564211338892
activism,28.1564211338892
organization,26.7814440656604
brindle,26.101424252642
solicitors,25.9402552316032
1989,25.6377076252208
bod,25.5443368275108
workers,24.2514216775983
who,23.9329934619806
january,23.8436601603372
membership,23.2993964143625
mrc,22.9802292231058
respectable,21.562364762733
trustees,21.4980790946377
british,21.2028600640367
case,20.8394686293595
experiential,20.6641054595169
family,20.6541082263832
political,20.5735443659391
that,20.5067290202183
public,20.4070487106283
professional,20.1446625503847
orkney,20.1117293813494
services,20.0759811827755
politics,20.0268451182443
undated,19.231273086071
inquiry,18.9724226929436
had,18.8155805231877
1980s,18.6786234501485
she,18.6258716398119
accessed,18.4531404881681
home,18.3718101892273
1988,18.2168265533412
whilst,18.1149251095499
helen,17.9972601727019
parliamentary,17.552312576455
untitled,17.2935034877354
parliament,17.2573070435499
state,17.1830960617699
twentieth,16.9503919088656
mold,16.9230599409619
publicity,16.7282613332251
seeking,16.721937184369
innocence,16.5891384515127
ingrams,16.5891384515127
contemporary,16.5325085377149
history,15.9248354787313
mail,15.8255572139399
your,15.8071455519732
june,15.7986610720543
newspapers,15.3405168341528
parental,15.2605451543865
experience,15.1331496594107
respectability,15.1172313103343
organizations,15.0534458903452
parton,14.7615400483106
court,14.7603180708804
you,14.7277533176867
london,14.6745162220753
campaign,14.5380524596643
sector,14.0962199315557
emphasized,14.0367012769481
physicians,14.009322207924
aristata,146.15767545414
asiatica,121.958435745827
lycium,119.355725519894
berberis,82.086861238606
its1,45.4187247624073
its2,41.7393339830353
dna,40.9501762330903
authentication,29.1683569149991
species,28.4456858873756
amplicon,26.6231447343611
lanes,25.6812723390127
berberine,24.0314702234267
bp,22.3987611533402
amplification,22.0680145127034
sequence,21.5484535130536
markers,21.4487435261641
shimla,20.689887651253
india,19.9483203869378
herbal,17.9549664164561
pcr,17.5726601426278
primers,16.9722602126725
spp,16.769070489979
goraya,16.5891384515127
bangalore,15.3551832661161
balasubramani,14.7158231511113
rrna,14.5710630844706
genomic,14.0692192338394
yip,13.9014589781078
devaiah,13.7932584341686
venkatasubramanian,13.4765334499781
royle,12.9767785035449
ar1f,12.9701276158016
ar1r,12.9701276158016
bl2r,12.9701276158016
as1r,12.9701276158016
bl2f,12.9701276158016
as1f,12.9701276158016
ved,12.7721684137554
himachal,12.4770235571117
its5,12.4418538386345
berberidaceae,12.0670376288096
primer,11.9422976259897
roxb,11.88477341529
accessions,11.8465921436651
singh,11.052289260552
plant,10.9013385619624
pharmacognostic,10.8732176027935
raw,10.8369072853554
region,10.7717394580956
ladder,10.5962794463897
its4,10.2608576548258
adulterants,10.2608576548258
traded,10.2608576548258
distinguish,10.1872365707757
identification,9.90864635290617
extraction,9.88617518596843
anonymous,9.80352471104097
pradesh,9.62768769353574
phytochemical,9.46690917091463
formulations,9.31615027221056
herbs,9.10440401819873
genebank,9.10002378171403
complete,8.99422028102076
amplified,8.91093990015741
ayurveda,8.8849441077488
sequencing,8.8845997939398
its,8.80576739410234
genei,8.70038999399116
samples,8.69333533073554
medicines,8.66155632453681
kangra,8.64675174386772
chandraa,8.64675174386772
fenestratum,8.64675174386772
taradevi,8.64675174386772
dubouzet,8.64675174386772
purohita,8.64675174386772
shillaru,8.64675174386772
coscinium,8.64675174386772
wongbutdee,8.64675174386772
alamgeer,8.64675174386772
watthanachaiyingcharoen,8.64675174386772
sohni,8.64675174386772
rawat,8.60559303577605
homology,8.32443745312422
frlht,8.29456922575636
homoeopathy,8.29456922575636
rheedea,8.29456922575636
taq,8.29182347849987
ribosomal,8.14677961031572
pharmacognosy,7.89953937571604
indian,7.74333433497178
srivastava,7.73683915027732
affuso,7.6925092344284
andola,7.6925092344284
zygophyllaceae,7.6925092344284
menispermaceae,7.55861565516717
bioserve,7.55861565516717
medicinal,7.3452802740316
tribulus,7.34032671631704
mandi,7.24881173519568
kaki,141.410003463024
oyf,103.761020926413
ssrs,91.6982282212677
diospyros,85.5071471235479
mirna,77.5581846050274
ests,75.8881888727733
library,71.1177376351225
persimmon,69.7331038050118
est,54.6595891863253
sequences,49.1203490462237
fruit,44.5395015015314
mir159,43.2337587193386
gc3,41.4728461287818
sequence,41.1379567067387
repeats,40.2000585522065
plant,39.5173522871138
mature,35.8654540302225
libraries,31.8825311078086
yonemori,31.4034869060946
mf,30.2761207409709
localization,25.0538696105143
bp,24.8875123926002
mfe,24.573237607037
snp,23.6360814720075
ikegami,23.2672201917043
micrornas,23.0634253263508
ssr,22.7700369377136
transversions,22.3278952836354
tags,22.1616590228599
unigenes,21.7464352055871
hortic,20.7315362514139
ontology,20.3329639782511
transversion,20.2148001749672
function,19.8697603179516
identification,19.8172927058123
predicted,19.5241058942104
cellular,19.460618473696
rehmsmeier,19.231273086071
genes,19.180392170055
markers,19.0655498010348
poly,18.5697403555391
snps,18.1470400832378
repeat,18.1215428524351
varshney,17.5526151795709
ericales,17.2935034877354
mfold,17.1014294247096
tentative,16.9802414645039
frequency,16.2666119774675
tatarinova,16.0893835050795
thunb,15.8100393484944
mining,15.2083360245149
diversity,15.203242588764
nucleotide,15.1821497033443
primer,14.9278720324872
targets,14.858522108242
species,14.6816443289681
prediction,13.7131028174881
proanthocyanidin,13.5758277848783
polymorphisms,13.0690688716337
mirna159,12.9701276158016
nasaruddin,12.9701276158016
diospyroskaki,12.9701276158016
orf,12.9150659121981
contigs,12.6480314787955
indels,12.5891384515127
zuker,12.5891384515127
identified,12.495063866968
ebenaceae,12.0670376288096
gene,11.7433883554089
chloroplast,11.6336100958522
hairpin,11.6168793596693
astringency,11.3379234827508
rna,11.3353185042708
kitajima,11.2729035744558
cap3,11.1639476418177
expressed,11.0239386242765
nucleotides,10.7744758263751
407,10.6924709821285
mismatches,10.6806534326341
tc,10.6132544785604
bartel,10.586729049236
harikrishna,10.531387545873
protein,10.5143798366418
assembly,10.5012160523367
rice,10.4581272649636
polymorphism,10.4005576236489
transitions,10.357376304601
evol,10.3465570950976
total,10.0810837878421
yamada,10.0151959803354
silico,10.0006188588109
blastx,9.97012761580158
gleave,9.97012761580158
go,9.89112820262689
genome,9.88366334590297
biosynthesis,9.87461351528021
apple,9.85215146145147
mirnas,9.71402486075444
myb,9.62829755888107
arabidopsis,9.62768769353574
aristata,7.6925092344284
lycium,7.02092503058201
asiatica,6.41886503925405
2venkatasubramanian,4.14728461287818
kaval,4.14728461287818
gurinder,4.14728461287818
frlht,4.14728461287818
jarakabande,4.14728461287818
560106,4.14728461287818
1goraya,4.14728461287818
174402,4.14728461287818
sundernagar,4.14728461287818
andola,3.8462546172142
yelahanka,3.77930782758359
attur,3.77930782758359
biotech3,3.68386648686311
mandi,3.62440586759784
paranthaman,3.54522462155022
revitalization,3.51046251529101
berberis,3.42028588494192
padma,3.39395694621957
royle,3.24419462588624
subramani,3.19304210343886
himachal,3.11925588927794
roxb,2.9711933538225
ayurveda,2.96164803591627
balasubramani,2.94316463022226
traditions,2.83907603258708
berberine,2.67016335815852
pharmacognosy,2.63317979190535
noncommercial,2.61519423108964
sentence,2.58301318243962
erratum,2.56750101626137
paragraph,2.53804603692309
pradesh,2.40692192338394
pharmaceutics,2.24419462588624
india,2.09982319862503
forest,1.95788788704296
integrative,1.92025535075804
bangalore,1.91939790826451
biotech,1.75108526578244
abdulaziz,1.69909377609819
