Wordlist,IDF
asiatica,40.0655911682585
aristata,40.0655911682585
lycium,35.8481605189681
berberis,25.3045838957422
dna,18.5442045107798
its1,17.2262848992958
its2,14.7653870565393
species,12.943602506798
markers,12.354855786504
authentication,12.3044892137827
bp,11.3110007409056
amplification,11.2999149998792
lanes,11.1530271085715
herbal,11.0740402924045
india,10.9674917444557
its,10.6616297395972
pcr,10.5465873332206
sequence,9.95054876188187
berberine,9.48921896090333
amplicon,9.1575980397686
primers,7.54066716060374
spp,7.49258021435613
bangalore,7.43535140571434
yip,7.38269352826964
shimla,7.38269352826964
distinguish,7.38050363625815
region,6.90922592154932
medicine,6.50593248000005
complete,6.37774700450706
formulations,6.15224460689137
medicines,6.15224460689137
primer,6.02662133326889
samples,5.84626808746481
genomic,5.7723640760293
health,5.49104701622399
quality,5.49104701622399
identification,5.39094855072433
ladder,5.27178831161296
stem,5.27178831161296
balasubramani,5.27178831161296
anonymous,5.27178831161296
chinese,5.27178831161296
singh,5.19512766842637
traditional,4.99505347623742
marker,4.99505347623742
devaiah,4.9217956855131
goraya,4.9217956855131
venkatasubramanian,4.9217956855131
herbs,4.9217956855131
ved,4.9217956855131
phytochemical,4.9217956855131
raw,4.80466613919599
rrna,4.80466613919599
sequencing,4.51996599995167
indian,4.51996599995167
medicinal,4.51996599995167
extraction,4.25183133633804
plant,4.25183133633804
accessions,4.21743064929037
royle,4.21743064929037
roxb,4.21743064929037
srivastava,4.21743064929037
himachal,4.21743064929037
world,4.16254456353118
genetic,3.77033358030187
amplified,3.77033358030187
94,3.76663833329306
pradesh,3.71767570285717
taq,3.71767570285717
develop,3.71767570285717
its5,3.69134676413482
as1r,3.69134676413482
ar1r,3.69134676413482
bl2f,3.69134676413482
ar1f,3.69134676413482
its4,3.69134676413482
bl2r,3.69134676413482
adulterants,3.69134676413482
rawat,3.69134676413482
ground,3.69134676413482
traded,3.69134676413482
genebank,3.69134676413482
pharmacognostic,3.69134676413482
scar,3.69134676413482
stems,3.69134676413482
berberidaceae,3.69134676413482
substitutes,3.69134676413482
as1f,3.69134676413482
buffer,3.43190438513999
dc,3.33003565082495
rao,3.33003565082495
ribosomal,3.33003565082495
extracts,3.33003565082495
powder,3.33003565082495
universal,3.33003565082495
regions,3.18887350225353
1998,3.18887350225353
genei,3.16307298696778
ministry,3.16307298696778
edta,3.16307298696778
kaki,46.7570590123744
library,43.6826895085718
ssrs,35.6830187199699
mirna,34.7938028566456
diospyros,30.7612230344568
mature,29.5307741130786
oyf,29.5307741130786
ests,29.5307741130786
est,27.069876270322
sequences,23.6666927117201
persimmon,23.3785295061872
mf,23.195868571097
repeats,22.1415109087744
fruit,20.4472163657144
sequence,18.9965021817745
